2016-08-09 08:02:21:289[Process      ] GameLogger::Initialize() opened log file [..\Data\LogFiles\2016-08-09 08-02-21.ObjConverter.log] for writing
2016-08-09 08:02:21:289[Info         ] GameLogger::Initialize() successful
2016-08-09 08:02:21:290[Process      ] ConfigReader opened [..\Data\BodaciousQuest.config] successfully
2016-08-09 08:02:21:290[Info         ] ConfigReader initialized successfully
2016-08-09 08:02:21:290[Info         ] Valid KVP [BodaciousQuest.ShowFullScreen] [false] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [BodaciousQuest.FpsInterval] [5.0] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [BodaciousQuest.EnableControls] [true] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [BodaciousQuest.LoadCubeFirst] [true] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [BodaciousQuest.CameraWalkMode] [false] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [BodaciousQuest.GridSize] [40] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Mode.VertexType] [ptn] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Mode.Analyze] [false] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model] [AIWorld] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Color] [random] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Obj.InputFileFolder] [..\\Data\\Objs\\] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Scene.OutputFileFolder] [..\\Data\\Scenes\\] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Dargon.NumVerts] [57967] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Dargon.NumIndices] [337824] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Dargon.NumTexCoords] [60175] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Dargon.NumNormals] [0] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Pyramid.NumVerts] [5] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Pyramid.NumIndices] [18] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Pyramid.NumTexCoords] [10] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Pyramid.NumNormals] [16] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.AIWorld.NumVerts] [1957] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.AIWorld.NumIndices] [8718] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.AIWorld.NumTexCoords] [4186] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.AIWorld.NumNormals] [5418] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.GameWeapon.NumVerts] [2068] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.GameWeapon.NumIndices] [9894] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.GameWeapon.NumTexCoords] [0] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.GameWeapon.NumNormals] [0] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Chicken.NumVerts] [224] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Chicken.NumIndices] [1374] added
2016-08-09 08:02:21:290[Info         ] Valid KVP [ObjConverter.Model.Chicken.NumTexCoords] [472] added
2016-08-09 08:02:21:291[Info         ] Valid KVP [ObjConverter.Model.Chicken.NumNormals] [565] added
2016-08-09 08:02:21:928[cInfo        ] ObjConverter::ReadFile() Read file ..\\Data\\Objs\\AIWorld.obj successfully
2016-08-09 08:02:21:929[cInfo        ] NUM VERTS:     1957
2016-08-09 08:02:21:930[cInfo        ] NUM INDICES:   8718
2016-08-09 08:02:21:931[cInfo        ] NUM TEXCOORDS: 4186
2016-08-09 08:02:21:932[cInfo        ] NUM NORMALS:   5418
2016-08-09 08:02:21:933[Process      ] ConfigReader shut down successfully
2016-08-09 08:02:21:933[Process      ] GameLogger::ShutDown() successful
